Users,Tweet
anthonydapuzzo,It’s all part of the menu! Tune into our newest episode now! @NeverSplitUpPod #TheMenuFilm https://t.co/xNv2beoEQ9 https://t.co/NiMgYJbsPf
PhilAtTheMovies,RT @NeverSplitUpPod: Hope you all brought your appetites! The Menu (2022) episode is now available on all podcast platforms &amp; YouTube! Link…
aftermiserycom,"'The Menu' Review: ''Sadly it looks to have the least successful 'Eat the rich' concept of the year. Delicious editing, rhythm and insert shots at times, loses much of its flavour and finesse after the fourth course.'' 

read: https://t.co/UneuPvITV5 

#TheMenuFilm https://t.co/5PWN7rh6qT"
NeverSplitUpPod,Hope you all brought your appetites! The Menu (2022) episode is now available on all podcast platforms &amp; YouTube! Link in bio. Comment below what your thoughts are on this horror satire. Please share this episode if you can &amp; subscribe to our YouTube channel. #TheMenuFilm https://t.co/CsQ9sam1Vb
__iyin__,"RT @seunolowoake: After writing this, all that's running through my mind is that Black Sherif line from This Is What I Mean

https://t.co/H…"
JulianAbelUK,RT @DisneyPlusUK: An experience to die for. You're invited to #TheMenuFilm. Now streaming on Disney+.
puggapillar,"Food Expert Watches *THE MENU*
▶ https://t.co/ur44RJTDeu

rts &amp; favs appreciated 🥰 #TheMenu #TheMenuFilm https://t.co/EavA8ncsGF"
Cherrychumt,"RT @TwanaTarakudo: Same Energy!🍔🚬
Ready or Not - The Menu
#TheMenuFilm #ReadyOrNot 
#AnyaTaylorJoy #chef Slowik https://t.co/R2jJBtiHbL"
ChrisK32189,RT @DisneyPlusUK: An experience to die for. You're invited to #TheMenuFilm. Now streaming on Disney+.
ThingsTily,RT @DisneyPlusUK: An experience to die for. You're invited to #TheMenuFilm. Now streaming on Disney+.
keansling,"Deserved. Deserved. When Hong Chau's character in #TheMenuFilm said she didn't forget, the chef didn't tell her about the barrel what did that mean?🤔 I still think about like?!! https://t.co/EByurue8hG"
Mycppppp_,RT @TheMenuFilm: Seth Reiss &amp; Will Tracy have been nominated for BEST ORIGINAL SCREENPLAY at the #WGAAwards for #TheMenuFilm! https://t.co/…
Shunsuke_K_D,RT @TheMenuFilm: Seth Reiss &amp; Will Tracy have been nominated for BEST ORIGINAL SCREENPLAY at the #WGAAwards for #TheMenuFilm! https://t.co/…
Shunsuke_K_D,RT @searchlightpics: Seth Reiss &amp; Will Tracy have been nominated for BEST ORIGINAL SCREENPLAY at the #WGAAwards for #TheMenuFilm! https://t…
zsommidublin,RT @TheMenuFilm: Seth Reiss &amp; Will Tracy have been nominated for BEST ORIGINAL SCREENPLAY at the #WGAAwards for #TheMenuFilm! https://t.co/…
KenMrgentleman,Yeaaa that was a wild movie 😂😂😂😂 #themenu #TheMenuMovie #TheMenuFilm
ThNguynLamUyn1,"RT @searchlightpics: Taste. Savor. Relish. 
Experience @TheMenuFilm starring Ralph Fiennes, @AnyaTaylorJoy, @NicholasHoult, and @JohnLeguiz…"
seunolowoake,"After writing this, all that's running through my mind is that Black Sherif line from This Is What I Mean

https://t.co/HvulLO1XDk 

#TheMenuFilm"
wabi_sabi_gorl,Just finished #TheMenuFilm and  I -
rylo388,The Menu is pure genius! #TheMenu #TheMenuFilm #cheeseburger
madmanreadsrox,The Menu is pure genius! #TheMenu #TheMenuFilm
ToasTy_Vone,"After finishing it all I seen was. Ratatouille 
#Netflix #TheMenuFilm https://t.co/tTJYa3bMcR"
RalphFiennesTH,RT @TheMenuFilm: Seth Reiss &amp; Will Tracy have been nominated for BEST ORIGINAL SCREENPLAY at the #WGAAwards for #TheMenuFilm! https://t.co/…
stas_nik66,"RT @DisneyPlusUK: It's all part of the menu. Don't miss #TheMenuFilm, now streaming on Disney+."
doreenpercival,"RT @DisneyPlusUK: It's all part of the menu. Don't miss #TheMenuFilm, now streaming on Disney+."
theblessed_sam,"RT @jettila: Eat. Drink. Run. Get movie night ready with me inspired by Searchlight Pictures’ The Menu, now on Blu-ray &amp; Digital: https://t…"
Jason_Sandberg,"RT @BjonesPOPS: What Are Some GOOD Things to Watch w/@LeftEyeEGO 

Tomorrow, Thurs 1/25  7pm EST

Some topics for now #tulsaking #Pinocchio…"
Wee_Westie29,Unfortunately my eyes are a little too big for my stomach. Can I get the rest to go? 😉 #TheMenuFilm #TheMenu @TheMenuFilm https://t.co/2tJAyGCRNd
rifan155,RT @searchlightpics: Seth Reiss &amp; Will Tracy have been nominated for BEST ORIGINAL SCREENPLAY at the #WGAAwards for #TheMenuFilm! https://t…
AnyaTaylorJoyMX,"RT @TheMenuFilm: Absolutely no substitutions! Watch #TheMenuFilm on Blu-ray &amp; Digital tonight, with exclusive behind-the-scenes content. ht…"
AnyaTaylorJoyMX,RT @TheMenuFilm: Seth Reiss &amp; Will Tracy have been nominated for BEST ORIGINAL SCREENPLAY at the #WGAAwards for #TheMenuFilm! https://t.co/…
772DIVA,RT @TheMenuFilm: Seth Reiss &amp; Will Tracy have been nominated for BEST ORIGINAL SCREENPLAY at the #WGAAwards for #TheMenuFilm! https://t.co/…
dotuncoker,RT @DisneyPlusUK: An experience to die for. You're invited to #TheMenuFilm. Now streaming on Disney+.
Hyperobject_Ind,RT @searchlightpics: Seth Reiss &amp; Will Tracy have been nominated for BEST ORIGINAL SCREENPLAY at the #WGAAwards for #TheMenuFilm! https://t…
M_Movie,RT @TheMenuFilm: Seth Reiss &amp; Will Tracy have been nominated for BEST ORIGINAL SCREENPLAY at the #WGAAwards for #TheMenuFilm! https://t.co/…
sticksnspoons,"As a Chef, THE MENU was this year's best movie yet! And can't help thinking about what @Pacojet paid for one of the best product placements I have seen!😂 Watch the Trailer&gt;&gt;&gt; https://t.co/5KKtVN5yuo &lt;&lt;&lt; #themenu #themenufilm #pacojet #chefhumour #lovedit"
theromanchick,RT @TheMenuFilm: Seth Reiss &amp; Will Tracy have been nominated for BEST ORIGINAL SCREENPLAY at the #WGAAwards for #TheMenuFilm! https://t.co/…
caiocr_lins,RT @searchlightpics: Seth Reiss &amp; Will Tracy have been nominated for BEST ORIGINAL SCREENPLAY at the #WGAAwards for #TheMenuFilm! https://t…
caiocr_lins,RT @TheMenuFilm: Seth Reiss &amp; Will Tracy have been nominated for BEST ORIGINAL SCREENPLAY at the #WGAAwards for #TheMenuFilm! https://t.co/…
Tha_NoOne,Hey #Screenwriters #WritingCommunity which genre will u put #themenufilm as per #savethecat genre category? For me it’s Monster in the house?
PhilAtTheMovies,RT @anthonydapuzzo: Tomorrow we dig into #TheMenuFilm. Here is a little appetizer!
anthonydapuzzo,Tomorrow we dig into #TheMenuFilm. Here is a little appetizer! https://t.co/qeYgBhBmAt
NeverSplitUpPod,"Our The Menu (2022) discussion/review drops tomorrow! Here is a little teaser. Did you see the breakout horror satire hit? What are your thoughts on it? 

#horrorpodcast #HorrorMovies #TheMenuFilm #AnyaTaylorJoy https://t.co/1nhsvUMD66"
BjonesPOPS,"What Are Some GOOD Things to Watch w/@LeftEyeEGO 

Tomorrow, Thurs 1/25  7pm EST

Some topics for now #tulsaking #PinocchioMovie #RRRMovie #themenufilm with various other things in the wings

https://t.co/uDdCkkw7WK via @YouTube https://t.co/Wo3SOpay9v"
HavenHuth,RT @TheMenuFilm: Seth Reiss &amp; Will Tracy have been nominated for BEST ORIGINAL SCREENPLAY at the #WGAAwards for #TheMenuFilm! https://t.co/…
Dr_CMGreer,I was invited to a multi-course tasting at a fancy restaurant and now I'm regretting having watched #TheMenu #themenufilm cc @JamilaRobinson
mockingbirdbw,RT @TheMenuFilm: Seth Reiss &amp; Will Tracy have been nominated for BEST ORIGINAL SCREENPLAY at the #WGAAwards for #TheMenuFilm! https://t.co/…
WRJr81,#TheMenu was superb i mean sensational. #TheMenuFilm #HBOMax
